"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"741","JF8_42401:56742","W_122948_67035904","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A3525111","3898750","934159","2164820","1003580","F_3802247","776917","MAD","F locaux","KANFAOUI.129","S - stocks","Litige","30","Echue dans 30 jours"
"751","OCP_46911:50394","O_672787_62882829","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4982722","28166700","4745800","10740400","945089","=_1038943","178358","MAD","F locaux","KANFAOUI.130","S - stocks","Litige","32","Echue dans 60 jours"
"761","OCP_61812:73766","K_506935_62660274","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=3635692","66235500","49496900","51881400","50222700","A_6611321","34629800","MAD","F locaux","KANFAOUI.131","S - stocks","Litige","-12","Echue"
"771","OCP_14469:70286","R_694435_46993928","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<264227","34722600","5244330","11655700","1219500","E_4305111","993069","MAD","F locaux","KANFAOUI.132","S - stocks","Litige","20","Echue dans 30 jours"
"781","OCP_51979:85888","=_199971_56685914","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5546099","17592500","335780","2166480","7775320","?_6409902","3737800","MAD","F locaux","KANFAOUI.133","S - stocks","Litige","21","Echue dans 30 jours"
"791","OCP_59073:69732","V_321295_71680599","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D3838343","79586400","43013500","66740700","60794800","C_5194983","270922","MAD","F locaux","KANFAOUI.134","S - stocks","Litige","4","Echue dans 7 jours"
"801","JF8_15313:15021","L_939401_95168472","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C3493647","83494000","35137700","43405300","80963200","B_3610284","30184400","MAD","F locaux","KANFAOUI.135","S - stocks","Litige","51","Echue dans 60 jours"
"811","JF8_46767:79037","H_364815_24087943","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A3780283","438557","67899","138542","261681","A_1387066","109598","MAD","F locaux","KANFAOUI.136","S - stocks","Litige","9","Echue dans 30 jours"
"821","JF8_81893:48921","A_58705_4840991","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F4220174","19231200","10560900","16405500","4523900","C_6360697","3535830","MAD","F locaux","KANFAOUI.137","S - stocks","Litige","-15","Echue"
"831","JF8_92803:58935","N_828953_38350923","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@6480253","19034600","8345500","9374230","11942700",">_3799887","3362920","MAD","F locaux","KANFAOUI.138","S - stocks","Litige","-9","Echue"
"841","JF8_66703:97582","?_155691_59546812","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">1453621","25572400","1647900","5492840","24977900","=_2744311","6003620","MAD","F locaux","KANFAOUI.139","S - stocks","Litige","36","Echue dans 60 jours"
"842","JF8_70743:98943","CDS30403_0210_59069","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC48","Karim.Hfad","F503242","76518900","5218420","66759700","69541500","D_3046602","48824900","USD","F étrangers","SAMAR.8972","M - marché","SPOC","-18","Echue"
"851","JF8_94196:11997",">_516530_93568412","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4097097","62702200","24122900","42745200","36074200","C_6449645","11640400","MAD","F locaux","KANFAOUI.140","S - stocks","Litige","48","Echue dans 60 jours"
"852","OCP_16452:6246","CDS30403_0210_59070","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC49","Karim.Hfad","F5958775","2313490","670025","756327","1763910","B_1500763","918184","EUR","F étrangers","SAMAR.8973","M - marché","SPOC","-1","Echue"
"861","JF8_56192:68230","K_594985_22594576","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5125053","47849000","20746200","21642100","4012230","?_4384371","653057","MAD","F locaux","KANFAOUI.141","S - stocks","Litige","33","Echue dans 60 jours"
"863","JF8_26094:46967","330_0003_565700","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC49","Karim.Hfad","A4200727","63473400","3491360","4762560","11480800","C_5088897","6527480","USD","F étrangers","RIYAHI.8631","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","4","Echue dans 7 jours"
"871","OCP_38525:44940","D_15869_76289173","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?3206174","2935320","239742","761368","728155","?_1741502","466768","MAD","F locaux","KANFAOUI.142","S - stocks","Litige","-2","Echue"
"873","OCP_46350:15066","330_0003_565701","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC50","Karim.Hfad","C1246436","44426400","1757060","7116550","36329900","?_6335833","24525200","EUR","F étrangers","RIYAHI.8632","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","25","Echue dans 30 jours"
"881","OCP_92766:23936","E_501573_11716519","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F5490851","17878700","8751040","17426800","2675040","<_246529","1729980","MAD","F locaux","KANFAOUI.143","S - stocks","Litige","37","Echue dans 60 jours"
"884","OCP_81771:19050","30_0003_500609","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC50","Karim.Hfad","?6229430","32989200","6164140","24805700","21316400","@_752771","4597390","MAD","F locaux","KARAMI.5986","E - Equipement","SPOC","30","Echue dans 30 jours"
"891","JF8_49087:88081","R_30582_78177016","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C422213","62963500","3332700","5772860","34406700",">_1340263","22229600","MAD","F locaux","KANFAOUI.144","S - stocks","Litige","-16","Echue"
"894","JF8_29074:74623","30_0003_500610","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC51","Karim.Hfad","E2558894","2206770","413622","1137500","1282310","<_5926309","45438","MAD","F locaux","KARAMI.5987","E - Equipement","SPOC","31","Echue dans 60 jours"
"901","JF8_28700:84711","V_990238_57746270","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B3217322","24578600","4480870","17087200","13654200","A_6277516","3123190","MAD","F locaux","KANFAOUI.145","S - stocks","Litige","-4","Echue"
"902","JF8_21066:18512","CDS30403_0210_59075","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC14","MOUSAID","<2972422","46977100","5478450","33997500","521749","<_3175048","133169","USD","F étrangers","SAMAR.8978","M - marché","SPOC","46","Echue dans 60 jours"
"905","OCP_68353:97101","0921_0090_33254505","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC51","Karim.Hfad","A4344409","40689200","9563200","20639600","15677800","@_1985374","13269200","MAD","F locaux","HASSAN.3423","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-15","Echue"
"911","JF8_48345:93541","V_10744_9965945","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C6516506","74236800","11026700","17665700","32035100","C_1978620","25305500","MAD","F locaux","KANFAOUI.146","S - stocks","Litige","18","Echue dans 30 jours"
"912","OCP_24316:42150","CDS30403_0210_59076","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC10","MOUSAID","?273329","78546400","15483600","24135900","33108200","C_3864356","21893800","EUR","F étrangers","SAMAR.8979","M - marché","SPOC","0","Echue dans 7 jours"
"915","JF8_91855:3257","0921_0090_33254506","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC52","Karim.Hfad","?4781020","18482800","6057200","7082760","3031930","E_3387618","1978150","MAD","F locaux","HASSAN.3424","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","38","Echue dans 60 jours"
"921","OCP_54480:20621","M_714140_37436833","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?6381181","47912300","5233450","19380800","34875400","B_5611380","12702300","MAD","F locaux","KANFAOUI.147","S - stocks","Litige","12","Echue dans 30 jours"
"922","JF8_82906:66569","CDS30403_0210_59077","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC13","MOUSAID","A6430559","19616100","547731","5750160","9199090","<_3522834","8330050","USD","F étrangers","SAMAR.8980","M - marché","SPOC","30","Echue dans 30 jours"
"923","OCP_30410:11924","330_0003_565706","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC14","MOUSAID","E5935776","80502100","11106000","17578000","49166300","<_1238868","34288700","EUR","F étrangers","RIYAHI.8637","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","26","Echue dans 30 jours"
"926","JF8_31128:22109","322_0117_561358744","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC52","Karim.Hfad","=1059153","89812700","14555900","84234900","37281800","E_6262369","24105400","MAD","F locaux","RABII.980","S - stocks","SPOC","0","Echue dans 7 jours"
"931","OCP_63940:26233","?_933395_35309577","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F3969874","63080900","29805900","44433200","62471500","@_3319972","50361800","MAD","F locaux","KANFAOUI.148","S - stocks","Litige","1","Echue dans 7 jours"
"932","OCP_92728:30225","CDS30403_0210_59078","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC9","MOUSAID","C5170249","34341400","5827230","26039800","10436100","?_57406","892771","EUR","F étrangers","SAMAR.8981","M - marché","SPOC","-4","Echue"
"933","OCP_57426:42305","330_0003_565707","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC10","MOUSAID",">4770086","62310600","27992100","58274700","18143000","@_4602770","8922290","USD","F étrangers","RIYAHI.8638","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","41","Echue dans 60 jours"
"941","OCP_97584:68509","D_915588_15423348","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4298930","90807200","3165320","25674700","60734800","F_6010155","26646200","MAD","F locaux","KANFAOUI.149","S - stocks","Litige","40","Echue dans 60 jours"
"942","JF8_19807:29898","CDS30403_0210_59079","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC12","MOUSAID","A3699211","29133600","1730900","16283000","3184410","E_2803599","2280460","EUR","F étrangers","SAMAR.8982","M - marché","SPOC","32","Echue dans 60 jours"
"943","OCP_35075:2289","330_0003_565708","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC13","MOUSAID","?3929239","16483900","1482720","7199930","10865900","E_2779299","3868990","USD","F étrangers","RIYAHI.8639","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","27","Echue dans 30 jours"
"944","JF8_46705:46240","30_0003_500615","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC14","MOUSAID","<3453535","40931900","4783750","8872040","27145200","<_1167679","16561300","MAD","F locaux","KARAMI.5992","E - Equipement","SPOC","-17","Echue"
"951","OCP_60583:82676","R_903374_82277702","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A1603115","58590700","1190170","39453500","40084600",">_5271489","13584300","MAD","F locaux","KANFAOUI.150","S - stocks","Litige","56","Echue dans 60 jours"
"952","OCP_96152:36818","CDS30403_0210_59080","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC8","MOUSAID","@6508662","3311250","2504480","2776640","15965","F_1993104","3751","USD","F étrangers","SAMAR.8983","M - marché","SPOC","10","Echue dans 30 jours"
"953","OCP_8824:99416","330_0003_565709","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC9","MOUSAID","E3736304","88749600","26629300","85864600","51974600","A_3817406","34320800","EUR","F étrangers","RIYAHI.8640","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","14","Echue dans 30 jours"
"954","JF8_42297:64730","30_0003_500616","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC10","MOUSAID","B1421082","95903900","2107650","85051900","50276000","A_331691","46803500","MAD","F locaux","KARAMI.5993","E - Equipement","SPOC","18","Echue dans 30 jours"
"961","JF8_5893:77414",">_903305_27966057","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A5874094","74636800","38626500","52511100","12775700","B_935064","3459690","MAD","F locaux","KANFAOUI.151","S - stocks","Litige","34","Echue dans 60 jours"
"962","JF8_65704:54676","CDS30403_0210_59081","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC8","MOUSAID","<5102171","28833500","10756800","24995700","2005640","C_442818","144642","EUR","F étrangers","SAMAR.8984","M - marché","SPOC","2","Echue dans 7 jours"
"963","JF8_48235:62787","330_0003_565710","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC12","MOUSAID",">972625","55283600","1905970","2450280","36303000","?_317158","12993700","EUR","F étrangers","RIYAHI.8641","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","50","Echue dans 60 jours"
"964","OCP_74584:11381","30_0003_500617","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC13","MOUSAID","E1755429","73703300","1158340","11049000","68343600","C_3333835","11053900","MAD","F locaux","KARAMI.5994","E - Equipement","SPOC","22","Echue dans 30 jours"
"965","OCP_38787:57470","0921_0090_33254511","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC14","MOUSAID","<1627067","64059700","5448970","22178800","45037600","B_2807110","31687000","MAD","F locaux","HASSAN.3429","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","16","Echue dans 30 jours"
"971","JF8_87441:18113","@_975373_50907204","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B1336284","9678520","4335680","8312890","1206550",">_5483890","494006","MAD","F locaux","KANFAOUI.152","S - stocks","Litige","-2","Echue"
"972","OCP_96690:35402","CDS30403_0210_59082","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC7","DARIH","?2943458","3978200","1732990","2105320","433076","?_4932060","54715","EUR","F étrangers","SAMAR.8985","M - marché","SPOC","-17","Echue"
"973","JF8_43804:86680","330_0003_565711","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC8","MOUSAID","A5987537","38392000","1228470","3355040","33538400","D_6409044","27468800","EUR","F étrangers","RIYAHI.8642","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","53","Echue dans 60 jours"
"974","JF8_15054:87494","30_0003_500618","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC9","MOUSAID","=666834","53198000","28469000","45696000","7163030",">_3905456","1572480","MAD","F locaux","KARAMI.5995","E - Equipement","SPOC","49","Echue dans 60 jours"
"975","OCP_59156:63917","0921_0090_33254512","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC10","MOUSAID","D3031093","37756300","1568570","23658300","27217900",">_5689616","17687100","MAD","F locaux","HASSAN.3430","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","0","Echue dans 7 jours"
"981","JF8_89040:15879","Z_595003_10880648","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B2426240","68535500","25405700","27280200","62945400","<_5901655","36678000","MAD","F locaux","KANFAOUI.153","S - stocks","Litige","32","Echue dans 60 jours"
"982","JF8_65086:93965","CDS30403_0210_59083","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC7","DARIH","A5257370","82629900","6144220","58268700","67687300","<_122509","26083500","USD","F étrangers","SAMAR.8986","M - marché","SPOC","51","Echue dans 60 jours"
"983","OCP_78913:28492","330_0003_565712","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC8","MOUSAID","D1534189","50848700","48749900","49232700","11434900","?_202522","7688640","EUR","F étrangers","RIYAHI.8643","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-2","Echue"
"984","JF8_68657:16524","30_0003_500619","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC12","MOUSAID","<1744223","86284700","995665","30557200","627414","B_1897158","454694","MAD","F locaux","KARAMI.5996","E - Equipement","SPOC","36","Echue dans 60 jours"
"985","JF8_50980:93165","0921_0090_33254513","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC13","MOUSAID","C4096291","50516000","22917700","42456000","43990800","F_4293184","4841400","MAD","F locaux","HASSAN.3431","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","11","Echue dans 30 jours"
"986","OCP_74896:14357","322_0117_561358750","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC14","MOUSAID","@6496124","24501100","16171900","17982900","18987800","F_3568073","6221970","MAD","F locaux","RABII.986","S - stocks","SPOC","55","Echue dans 60 jours"
"991","OCP_29161:99634","@_674316_64089814","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C5039197","55724300","38419700","39320700","34244500","E_6383829","25088900","MAD","F locaux","KANFAOUI.154","S - stocks","Litige","-13","Echue"
"992","JF8_3807:20369","CDS30403_0210_59084","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC7","RATIB",">5242689","44227900","21374900","30625800","22496200","@_198516","6035500","USD","F étrangers","SAMAR.8987","M - marché","SPOC","-14","Echue"
"993","OCP_69263:78570","330_0003_565713","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC7","DARIH","A5286353","89335000","3913510","6216150","79984700","C_4368281","66807600","USD","F étrangers","RIYAHI.8644","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","15","Echue dans 30 jours"
"994","OCP_64352:6162","30_0003_500620","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC8","MOUSAID",">27739","2968720","927327","1147960","190508","C_6363105","87838","MAD","F locaux","KARAMI.5997","E - Equipement","SPOC","12","Echue dans 30 jours"
"995","OCP_58743:97983","0921_0090_33254514","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC9","MOUSAID","<4905213","19583300","2811440","19515400","18607200",">_4669414","2290080","MAD","F locaux","HASSAN.3432","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-12","Echue"
"996","JF8_9934:65604","322_0117_561358751","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC10","MOUSAID","E2667128","68641900","2238700","3936800","54181200","B_2699743","47529800","MAD","F locaux","RABII.987","S - stocks","SPOC","58","Echue dans 60 jours"
